phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,method_group,ablation_flag,seed,tier,eval_budget,walltime_cap_s,status
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,1,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,2,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,3,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,4,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,5,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,6,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,7,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,8,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,9,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,10,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,11,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,12,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,13,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,14,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,15,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,16,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,17,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,18,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,19,small,25050,1800,planned
main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,ablation,nolns,20,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,1,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,2,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,3,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,4,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,5,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,6,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,7,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,8,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,9,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,10,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,11,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,12,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,13,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,14,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,15,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,16,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,17,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,18,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,19,small,25050,1800,planned
main,solomon,100,C101,clustered,S2_peak_dirty,A3_NoLNS,ablation,nolns,20,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,1,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,2,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,3,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,4,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,5,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,6,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,7,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,8,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,9,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,10,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,11,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,12,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,13,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,14,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,15,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,16,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,17,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,18,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,19,small,25050,1800,planned
main,solomon,100,C101,clustered,S3_mixed_fleet_arc,A3_NoLNS,ablation,nolns,20,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,1,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,2,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,3,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,4,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,5,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,6,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,7,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,8,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,9,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,10,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,11,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,12,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,13,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,14,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,15,small,25050,1800,planned
main,solomon,100,C104,clustered,S1_balanced,A3_NoLNS,ablation,nolns,16,small,25050,1800,planned
