phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,method_group,ablation_flag,seed,tier,eval_budget,walltime_cap_s,status
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,1,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,2,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,3,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,4,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,5,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,6,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,7,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,8,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,9,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,10,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,11,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,12,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,13,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,14,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,15,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,16,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,17,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,18,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,19,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,EDE,proposed,full,20,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,1,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,2,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,3,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,4,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,5,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,6,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,7,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,8,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,9,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,10,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,11,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,12,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,13,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,14,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,15,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,16,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,17,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,18,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,19,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,StdDE,baseline,full,20,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,ILS_MS,baseline,full,1,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,ILS_MS,baseline,full,2,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,ILS_MS,baseline,full,3,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,ILS_MS,baseline,full,4,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,ILS_MS,baseline,full,5,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,ILS_MS,baseline,full,6,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,ILS_MS,baseline,full,7,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,ILS_MS,baseline,full,8,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,ILS_MS,baseline,full,9,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,ILS_MS,baseline,full,10,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,ILS_MS,baseline,full,11,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,ILS_MS,baseline,full,12,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,ILS_MS,baseline,full,13,small,25050,1800,planned
main,solomon,100,RC109,mixed,S1_balanced,ILS_MS,baseline,full,14,small,25050,1800,planned
