run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C1_2_1__S1_balanced__EDE__seed01,main,hg,200,C1_2_1,clustered,S1_balanced,EDE,1,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,6555.790200646185,7532.379484001083,3882.0021364693034,0.943375,0.9368319251254906,0.006543074874509336,0.693581542282691,97.00707910000347,2.3173913340556385,0.0028234656695027764,63.71580079989508,1,0,0,1,2,real_solver:EDE | archive=2 | init_best=0.943375 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_1.TXT
C1_2_1__S1_balanced__EDE__seed02,main,hg,200,C1_2_1,clustered,S1_balanced,EDE,2,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,6471.298523102091,7515.151521507244,3873.9824004028205,0.935442,0.9314992256414224,0.003942774358577594,0.42148784837302516,87.9961604999844,2.1021305008329607,0.0018756087488456526,61.23673639993649,1,0,0,1,1,real_solver:EDE | archive=1 | init_best=0.935442 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_1.TXT
C1_2_1__S2_peak_dirty__EDE__seed01,main,hg,200,C1_2_1,clustered,S2_peak_dirty,EDE,1,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,6915.408441210866,8090.534105034604,4052.9939105024814,0.967244,0.9672441669542415,0.0,0.0,74.96378710004501,1.7908015807232975,0.0,52.92937280004844,1,0,0,1,3,real_solver:EDE | archive=3 | init_best=0.967244 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_1.TXT
C1_2_1__S2_peak_dirty__EDE__seed02,main,hg,200,C1_2_1,clustered,S2_peak_dirty,EDE,2,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,6604.646724489085,7940.624471863104,3982.6277088391025,0.946779,0.9413444653353998,0.005434534664600199,0.5740024508993333,65.88646009995136,1.5739543246099492,0.0034527905795150456,42.52464980003424,1,0,0,1,2,real_solver:EDE | archive=2 | init_best=0.946779 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_1.TXT
C1_2_1__S3_mixed_fleet_arc__EDE__seed01,main,hg,200,C1_2_1,clustered,S3_mixed_fleet_arc,EDE,1,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,6743.33561306913,7740.1925432337075,2443.463243326074,0.930883,0.9308832831361551,0.0,0.0,77.25735069997609,1.8455922667216509,0.0,53.313027600059286,1,0,0,1,2,real_solver:EDE | archive=2 | init_best=0.930883 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_1.TXT
C1_2_1__S3_mixed_fleet_arc__EDE__seed02,main,hg,200,C1_2_1,clustered,S3_mixed_fleet_arc,EDE,2,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,6255.834788279248,7590.9881786444275,2401.3914219328494,0.905657,0.89721841197046,0.008438588029540006,0.9317642362991735,65.56268860003911,1.5662197832231566,0.005387869646349415,43.19815429998562,1,0,0,1,2,real_solver:EDE | archive=2 | init_best=0.905657 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_1.TXT
C1_2_5__S1_balanced__EDE__seed01,main,hg,200,C1_2_5,clustered,S1_balanced,EDE,1,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,7017.184576537604,8188.336359700194,4218.103075812193,1.0,1.0,0.0,0.0,66.6517923999345,1.592237262887324,0.0,43.65953930001706,1,0,0,1,5,real_solver:EDE | archive=5 | init_best=1.000000 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_5.TXT
C1_2_5__S1_balanced__EDE__seed02,main,hg,200,C1_2_5,clustered,S1_balanced,EDE,2,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,6728.131370315528,8009.905912654507,4130.661694483909,0.996265,0.972095659540036,0.024169340459963995,2.425995137836218,69.53155000007246,1.6610314722239532,0.014550802235916512,43.100445799995214,1,0,0,1,1,real_solver:EDE | archive=1 | init_best=0.996265 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_5.TXT
C1_2_5__S2_peak_dirty__EDE__seed01,main,hg,200,C1_2_5,clustered,S2_peak_dirty,EDE,1,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,7017.184576537604,8188.336359700194,4100.604872468205,1.0,1.0,0.0,0.0,75.72789490001742,1.8090552670559716,0.0,48.606166400015354,1,0,0,1,5,real_solver:EDE | archive=5 | init_best=1.000000 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_5.TXT
C1_2_5__S2_peak_dirty__EDE__seed02,main,hg,200,C1_2_5,clustered,S2_peak_dirty,EDE,2,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,6629.335597220847,8081.86025741099,4054.1804505575064,0.996643,0.9734679815676205,0.023175018432379457,2.325307901864505,78.1509989000624,1.8669405292792685,0.012413367254567109,52.354000200051814,1,0,0,1,1,real_solver:EDE | archive=1 | init_best=0.996643 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_5.TXT
C1_2_5__S3_mixed_fleet_arc__EDE__seed01,main,hg,200,C1_2_5,clustered,S3_mixed_fleet_arc,EDE,1,medium,12,1,1,0.0,0.0,0.0,0.0,0.0,7017.184576537604,8188.336359700194,2585.1895621496415,1.0,1.0,0.0,0.0,74.1820784000447,1.7721274284455124,0.0,50.65526799997315,1,0,0,1,5,real_solver:EDE | archive=5 | init_best=1.000000 | problem_source=real | problem_path=data\benchmarks\homberger\homberger_200_customer_instances\C1_2_5.TXT
