phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,method_group,ablation_flag,seed,tier,eval_budget,walltime_cap_s,status
main,solomon,100,C201,clustered,S2_peak_dirty,A1_NoSeed,ablation,noseed,13,small,25050,1800,planned
main,solomon,100,C201,clustered,S2_peak_dirty,A1_NoSeed,ablation,noseed,14,small,25050,1800,planned
main,solomon,100,C201,clustered,S2_peak_dirty,A1_NoSeed,ablation,noseed,15,small,25050,1800,planned
main,solomon,100,C201,clustered,S2_peak_dirty,A1_NoSeed,ablation,noseed,16,small,25050,1800,planned
main,solomon,100,C201,clustered,S2_peak_dirty,A1_NoSeed,ablation,noseed,17,small,25050,1800,planned
main,solomon,100,C201,clustered,S2_peak_dirty,A1_NoSeed,ablation,noseed,18,small,25050,1800,planned
main,solomon,100,C201,clustered,S2_peak_dirty,A1_NoSeed,ablation,noseed,19,small,25050,1800,planned
main,solomon,100,C201,clustered,S2_peak_dirty,A1_NoSeed,ablation,noseed,20,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,1,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,2,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,3,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,4,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,5,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,6,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,7,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,8,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,9,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,10,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,11,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,12,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,13,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,14,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,15,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,16,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,17,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,18,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,19,small,25050,1800,planned
main,solomon,100,C201,clustered,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,20,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,1,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,2,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,3,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,4,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,5,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,6,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,7,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,8,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,9,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,10,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,11,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,12,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,13,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,14,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,15,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,16,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,17,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,18,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,19,small,25050,1800,planned
main,solomon,100,R201,random,S1_balanced,A1_NoSeed,ablation,noseed,20,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,1,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,2,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,3,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,4,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,5,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,6,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,7,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,8,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,9,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,10,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,11,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,12,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,13,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,14,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,15,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,16,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,17,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,18,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,19,small,25050,1800,planned
main,solomon,100,R201,random,S2_peak_dirty,A1_NoSeed,ablation,noseed,20,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,1,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,2,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,3,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,4,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,5,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,6,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,7,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,8,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,9,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,10,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,11,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,12,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,13,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,14,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,15,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,16,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,17,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,18,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,19,small,25050,1800,planned
main,solomon,100,R201,random,S3_mixed_fleet_arc,A1_NoSeed,ablation,noseed,20,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,1,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,2,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,3,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,4,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,5,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,6,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,7,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,8,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,9,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,10,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,11,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,12,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,13,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,14,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,15,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,16,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,17,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,18,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,19,small,25050,1800,planned
main,solomon,100,RC201,mixed,S1_balanced,A1_NoSeed,ablation,noseed,20,small,25050,1800,planned
main,solomon,100,RC201,mixed,S2_peak_dirty,A1_NoSeed,ablation,noseed,1,small,25050,1800,planned
main,solomon,100,RC201,mixed,S2_peak_dirty,A1_NoSeed,ablation,noseed,2,small,25050,1800,planned
main,solomon,100,RC201,mixed,S2_peak_dirty,A1_NoSeed,ablation,noseed,3,small,25050,1800,planned
main,solomon,100,RC201,mixed,S2_peak_dirty,A1_NoSeed,ablation,noseed,4,small,25050,1800,planned
main,solomon,100,RC201,mixed,S2_peak_dirty,A1_NoSeed,ablation,noseed,5,small,25050,1800,planned
main,solomon,100,RC201,mixed,S2_peak_dirty,A1_NoSeed,ablation,noseed,6,small,25050,1800,planned
main,solomon,100,RC201,mixed,S2_peak_dirty,A1_NoSeed,ablation,noseed,7,small,25050,1800,planned
main,solomon,100,RC201,mixed,S2_peak_dirty,A1_NoSeed,ablation,noseed,8,small,25050,1800,planned
